region,civilstånd,ålder,kön,år,Folkmängd
00 Riket,ogifta,0 år,män,1968,56772.0
00 Riket,ogifta,0 år,män,1969,54602.0
00 Riket,ogifta,0 år,män,1970,55464.0
00 Riket,ogifta,0 år,män,1971,57559.0
00 Riket,ogifta,0 år,män,1972,57702.0
00 Riket,ogifta,0 år,män,1973,55821.0
00 Riket,ogifta,0 år,män,1974,56142.0
00 Riket,ogifta,0 år,män,1975,52862.0
00 Riket,ogifta,0 år,män,1976,50402.0
00 Riket,ogifta,0 år,män,1977,49337.0
00 Riket,ogifta,0 år,män,1978,47585.0
00 Riket,ogifta,0 år,män,1979,49137.0
00 Riket,ogifta,0 år,män,1980,49623.0
00 Riket,ogifta,0 år,män,1981,48016.0
00 Riket,ogifta,0 år,män,1982,47658.0
00 Riket,ogifta,0 år,män,1983,47204.0
00 Riket,ogifta,0 år,män,1984,48140.0
00 Riket,ogifta,0 år,män,1985,50558.0
00 Riket,ogifta,0 år,män,1986,52177.0
00 Riket,ogifta,0 år,män,1987,53345.0
00 Riket,ogifta,0 år,män,1988,57645.0
00 Riket,ogifta,0 år,män,1989,59530.0
00 Riket,ogifta,0 år,män,1990,63526.0
00 Riket,ogifta,0 år,män,1991,63469.0
00 Riket,ogifta,0 år,män,1992,63013.0
00 Riket,ogifta,0 år,män,1993,59979.0
00 Riket,ogifta,0 år,män,1994,57173.0
00 Riket,ogifta,0 år,män,1995,53020.0
00 Riket,ogifta,0 år,män,1996,48505.0
00 Riket,ogifta,0 år,män,1997,46320.0
00 Riket,ogifta,0 år,män,1998,46011.0
00 Riket,ogifta,0 år,män,1999,45309.0
00 Riket,ogifta,0 år,män,2000,46764.0
00 Riket,ogifta,0 år,män,2001,47214.0
00 Riket,ogifta,0 år,män,2002,49275.0
00 Riket,ogifta,0 år,män,2003,51138.0
00 Riket,ogifta,0 år,män,2004,52037.0
00 Riket,ogifta,0 år,män,2005,52135.0
00 Riket,ogifta,0 år,män,2006,54684.0
00 Riket,ogifta,0 år,män,2007,55427.0
00 Riket,ogifta,0 år,män,2008,56528.0
00 Riket,ogifta,0 år,män,2009,57720.0
00 Riket,ogifta,0 år,män,2010,59496.0
00 Riket,ogifta,0 år,män,2011,57359.0
00 Riket,ogifta,0 år,män,2012,58309.0
00 Riket,ogifta,0 år,män,2013,58649.0
00 Riket,ogifta,0 år,män,2014,59584.0
00 Riket,ogifta,0 år,män,2015,59994.0
00 Riket,ogifta,0 år,män,2016,61005.0
00 Riket,ogifta,0 år,män,2017,59899.0
00 Riket,ogifta,0 år,män,2018,60032.0
00 Riket,ogifta,0 år,män,2019,59476.0
00 Riket,ogifta,0 år,män,2020,58485.0
00 Riket,ogifta,0 år,män,2021,58692.0
00 Riket,ogifta,0 år,män,2022,54095.0
00 Riket,ogifta,0 år,män,2023,51536.0
00 Riket,ogifta,0 år,kvinnor,1968,53988.0
00 Riket,ogifta,0 år,kvinnor,1969,51311.0
00 Riket,ogifta,0 år,kvinnor,1970,52800.0
00 Riket,ogifta,0 år,kvinnor,1971,54424.0
00 Riket,ogifta,0 år,kvinnor,1972,54514.0
00 Riket,ogifta,0 år,kvinnor,1973,52850.0
00 Riket,ogifta,0 år,kvinnor,1974,53146.0
00 Riket,ogifta,0 år,kvinnor,1975,50254.0
00 Riket,ogifta,0 år,kvinnor,1976,47854.0
00 Riket,ogifta,0 år,kvinnor,1977,46591.0
00 Riket,ogifta,0 år,kvinnor,1978,45395.0
00 Riket,ogifta,0 år,kvinnor,1979,46777.0
00 Riket,ogifta,0 år,kvinnor,1980,47165.0
00 Riket,ogifta,0 år,kvinnor,1981,45921.0
00 Riket,ogifta,0 år,kvinnor,1982,45067.0
00 Riket,ogifta,0 år,kvinnor,1983,44414.0
00 Riket,ogifta,0 år,kvinnor,1984,45490.0
00 Riket,ogifta,0 år,kvinnor,1985,47638.0
00 Riket,ogifta,0 år,kvinnor,1986,49495.0
00 Riket,ogifta,0 år,kvinnor,1987,51111.0
00 Riket,ogifta,0 år,kvinnor,1988,54247.0
00 Riket,ogifta,0 år,kvinnor,1989,56317.0
00 Riket,ogifta,0 år,kvinnor,1990,60478.0
00 Riket,ogifta,0 år,kvinnor,1991,59884.0
00 Riket,ogifta,0 år,kvinnor,1992,59569.0
00 Riket,ogifta,0 år,kvinnor,1993,57394.0
00 Riket,ogifta,0 år,kvinnor,1994,54811.0
00 Riket,ogifta,0 år,kvinnor,1995,50052.0
00 Riket,ogifta,0 år,kvinnor,1996,46478.0
00 Riket,ogifta,0 år,kvinnor,1997,43860.0
00 Riket,ogifta,0 år,kvinnor,1998,43223.0
00 Riket,ogifta,0 år,kvinnor,1999,43058.0
00 Riket,ogifta,0 år,kvinnor,2000,43950.0
00 Riket,ogifta,0 år,kvinnor,2001,44439.0
00 Riket,ogifta,0 år,kvinnor,2002,46751.0
00 Riket,ogifta,0 år,kvinnor,2003,48092.0
00 Riket,ogifta,0 år,kvinnor,2004,49053.0
00 Riket,ogifta,0 år,kvinnor,2005,49420.0
00 Riket,ogifta,0 år,kvinnor,2006,51594.0
00 Riket,ogifta,0 år,kvinnor,2007,52330.0
00 Riket,ogifta,0 år,kvinnor,2008,53136.0
00 Riket,ogifta,0 år,kvinnor,2009,54400.0
00 Riket,ogifta,0 år,kvinnor,2010,56414.0
00 Riket,ogifta,0 år,kvinnor,2011,54755.0
00 Riket,ogifta,0 år,kvinnor,2012,55178.0
00 Riket,ogifta,0 år,kvinnor,2013,55359.0
00 Riket,ogifta,0 år,kvinnor,2014,56296.0
00 Riket,ogifta,0 år,kvinnor,2015,55884.0
00 Riket,ogifta,0 år,kvinnor,2016,58018.0
00 Riket,ogifta,0 år,kvinnor,2017,56715.0
00 Riket,ogifta,0 år,kvinnor,2018,56807.0
00 Riket,ogifta,0 år,kvinnor,2019,55907.0
00 Riket,ogifta,0 år,kvinnor,2020,55104.0
00 Riket,ogifta,0 år,kvinnor,2021,55971.0
00 Riket,ogifta,0 år,kvinnor,2022,51091.0
00 Riket,ogifta,0 år,kvinnor,2023,49120.0
00 Riket,ogifta,1 år,män,1968,61812.0
00 Riket,ogifta,1 år,män,1969,58036.0
00 Riket,ogifta,1 år,män,1970,55662.0
00 Riket,ogifta,1 år,män,1971,55975.0
00 Riket,ogifta,1 år,män,1972,58138.0
00 Riket,ogifta,1 år,män,1973,57175.0
00 Riket,ogifta,1 år,män,1974,56044.0
00 Riket,ogifta,1 år,män,1975,56587.0
00 Riket,ogifta,1 år,män,1976,53396.0
00 Riket,ogifta,1 år,män,1977,50863.0
00 Riket,ogifta,1 år,män,1978,49622.0
00 Riket,ogifta,1 år,män,1979,47868.0
00 Riket,ogifta,1 år,män,1980,49484.0
00 Riket,ogifta,1 år,män,1981,49944.0
00 Riket,ogifta,1 år,män,1982,48233.0
00 Riket,ogifta,1 år,män,1983,47879.0
